Rank (of 400),School,Type,Grades,Address,City,Zip,Is Charter,Is Magnet,Is Virtual,Is Title I,Phone
1,Academy for Mathematics Science and Engineering,Public,12-Sep,520 West Main Street,Rockaway,7866,No,(n/a),No,No,(973) 664-2301
2,Middlesex County Vocational Academy Math Science &Engineering Techn,Public,12-Sep,100 Technology Drive,Edison,8837,No,(n/a),No,No,(732) 452-2600
3,Academy For Allied Health Sciences,Public,12-Sep,1776 Raritan Road,Scotch Plains,7076,No,(n/a),No,No,(908) 889-8288
4,High Technology High School,Public,12-Sep,765 Newman Springs Road,Lincroft,7738,No,(n/a),No,No,(732) 842-8444
5,Academy For Information Technology,Public,12-Sep,1776 Raritan Road,Scotch Plains,7076,No,(n/a),No,No,(908) 889-8288
6,Marine Academy Of Science And Technology,Public,12-Sep,305 Mast Way,Highlands,7732,No,(n/a),No,No,(732) 291-0995
7,Union County Magnet High School,Public,12-Sep,1776 Raritan Road,Scotch Plains,7076,No,(n/a),No,No,(908) 889-8288
8,Infinity Institute,Public,12-Jun,193 Old Bergen Road,Jersey City,7305,No,(n/a),No,Yes,(201) 915-1404
9,Biotechnology High School,Public,12-Sep,5000 Kozloski Road,Freehold,7728,No,(n/a),No,No,(732) 431-7942
10,Union County Technical,Public,12-Sep,1776 Raritan Rd,Scotch Plains,7076,No,(n/a),No,Yes,(908) 889-8288
11,Middlesex County Vocational Academy Allied Health & Biomedical Science,Public,12-Aug,1 Convery Boulevard,Woodbridge,7095,No,(n/a),No,No,(732) 634-5858
12,Monmouth County Academy of Allied Health and Science,Public,12-Sep,2325 Heck Avenue,Neptune,7753,No,(n/a),No,No,(732) 775-0058
13,Bergen County Academies,Public,12-Sep,200 Hackensack Avenue,Hackensack,7601,No,(n/a),No,No,(201) 343-6000
14,Marine Academy of Technology and Environmental Science,Public,12-Sep,195 Cedar Bridge Road,Manahawkin,8050,No,(n/a),No,No,(609) 978-8439
15,North Star Academy Charter School,"Public, Charter, Alternative",K-12,10 Washington Place,Newark,7102,Yes,(n/a),No,Yes,(973) 642-0101
16,Communications High School,Public,12-Sep,1740 New Bedford Road,Wall,7719,No,(n/a),No,No,(732) 681-1010
